x	qxH	qxM	qxiH	qxiM
33	0.000990657062	0.000555676355	0.016958122930	0.010252245609
34	0.001051401159	0.000589223554	0.017133580913	0.010349860523
35	0.001117402273	0.000626860046	0.017321805769	0.010455137161
36	0.001189710023	0.000667591075	0.017523724372	0.010568675564
37	0.001269383764	0.000711429186	0.017740329428	0.010691123451
38	0.001356476539	0.000760407894	0.017972685478	0.010823178377
39	0.001451047526	0.000814548688	0.018221934014	0.010965592943
40	0.001556224080	0.000872864239	0.018489298121	0.011119178171
41	0.001671076879	0.000937402565	0.018776089121	0.011284807893
42	0.001796727192	0.001007184039	0.019083712164	0.011463424877
43	0.001934317312	0.001085285156	0.019413673232	0.011656044763
44	0.002086041505	0.001169726028	0.019767585934	0.011863761956
45	0.002251043914	0.001262587756	0.020147179117	0.012087756460
46	0.002433639964	0.001364952181	0.020554305425	0.012329299730
47	0.002632011844	0.001475877857	0.020990949004	0.012589761587
48	0.002850572137	0.001598508875	0.021459234874	0.012870618355
49	0.003090706139	0.001732956956	0.021961439558	0.013173460282
50	0.003352819269	0.001880373043	0.022500000154	0.013500000904
51	0.003640513672	0.002041934564	0.023077526047	0.013852085947
52	0.003956461064	0.002218849735	0.023696810769	0.014231703519
53	0.004301345265	0.002412362508	0.024360844221	0.014640994444
54	0.004681245139	0.002624791210	0.025072825213	0.015082264265
55	0.005050311493	0.002832623538	0.025836177373	0.015557995634
56	0.005463276425	0.003063976876	0.026654561431	0.016070861228
57	0.005924703442	0.003322390663	0.027531893024	0.016623737402
58	0.006441621185	0.003612561176	0.028472358435	0.017219720648
59	0.007019309637	0.003936190079	0.029480431721	0.017862142004
60	0.007665684871	0.004299313079	0.030560894251	0.018554586031
61	0.008388172986	0.004703968385	0.031718853453	0.019300907357
62	0.009197129604	0.005157690570	0.032959763289	0.020105252131
63	0.010277136129	0.005665162509	0.034289445200	0.020972077705
64	0.011457024789	0.006232480884	0.035714112540	0.021906174385
65	0.012742120413	0.006866183479	0.037240391277	0.022912690248
66	0.014144816926	0.007575518415	0.038875345433	0.023997155722
67	0.015673481155	0.008368269680	0.040626504016	0.025165508979
68	0.017340700470	0.009255234069	0.042501885053	0.026424124791
69	0.019157780810	0.010246052640	0.044510023333	0.027779844195
70	0.021137320348	0.011353830014	0.046659999143	0.029240004045
71	0.023296113837	0.012592136190	0.049938974651	0.031835819717
72	0.025646837524	0.013976454383	0.053488989008	0.034686705429
73	0.028207013650	0.015522290807	0.057331264624	0.037816848023
74	0.030995828702	0.017249096476	0.061488458090	0.041252522314
75	0.034031762979	0.019177425099	0.065984727044	0.045022248242
76	0.037335457661	0.021330777724	0.070845788007	0.049156928877
77	0.040930118937	0.023735251435	0.076098958599	0.053689994903
78	0.044841935679	0.026419230625	0.081773192304	0.058657536185
79	0.049093824272	0.029413092371	0.087899104298	0.064098424591
80	0.053714213602	0.032751611385	0.094508968618	0.070054425943
81	0.058735821238	0.036474073865	0.101636709154	0.076570285894
82	0.064187759873	0.040622972668	0.109317855424	0.083693783758
83	0.070106526594	0.045242236899	0.117589466258	0.091475758988
84	0.076524912827	0.050387379520	0.126490033624	0.099970070126
85	0.083483315825	0.056110154905	0.136059309932	0.109233504784
86	0.091023489933	0.062472290156	0.146338130048	0.119325606561
87	0.099186112475	0.069541190985	0.157368120756	0.130308397307
88	0.108012425198	0.077388442353	0.169191401554	0.142245993787
89	0.117554532119	0.086089934961	0.181850146548	0.155204078473
90	0.127858726967	0.095728365355	0.195386111924	0.169249203265
91	0.138974575909	0.106730565060	0.209840041024	0.184447908179
92	0.150945062710	0.119455978817	0.225250956275	0.200865606353
93	0.163834130864	0.133911973756	0.241655342410	0.218565239555
94	0.177678078517	0.150091536070	0.259086226792	0.237605640010
95	0.192543353694	0.167999777170	0.277572087359	0.258039590772
96	0.208899818491	0.187633214672	0.297135672684	0.279911571095
97	0.227218899876	0.208992128797	0.317792622886	0.303255177159
98	0.247500287323	0.232082385426	0.339550063689	0.328090207932
99	0.269746722668	0.256891833827	0.362405038396	0.354419432740
100	0.293955660904	0.283434014516	0.386342701670	0.382225121716
101	0.320118489262	0.311708995158	0.411334852226	0.411465414169
102	0.348268099630	0.341683892265	0.437337756778	0.442070642133
103	0.378272980501	0.373418314744	0.464291329315	0.473939545591
104	0.410394265233	0.406881077038	0.492117024690	0.506936480693
105	0.444376899696	0.441992433796	0.520714579538	0.540888216816
106	0.480306345733	0.478870056497	0.549963217263	0.575582253532
107	0.517894736842	0.517779705117	0.579727254840	0.610765974955
108	0.558951965066	0.557553956835	0.609842618936	0.646154654769
109	0.599009900990	0.599593495935	0.640097844649	0.681416075260
110	1.000000000000	1.000000000000	1.000000000000	1.000000000000
